"year","NOM_ENT","POB","TotalPerros","TotalGatos","RAVd","RAVg","ProyeccionPerros","ProyeccionGatos","pm1a","gm1a","MFd","MFc","pControl","SIR_agresiones"
2020,"Campeche",650365,110026,21342,109308,20805,337685.0847,58135.3677,0.2511,0.5587,0.2531,0.5256,0,0.3454
2020,"Chiapas",3339960,192216,29373,189978,29125,1565489.6667,262215.6389,0.2491,0.2984,1.109,0.6757,0.0034,0.3055
2020,"Chihuahua",2481414,213789,19931,204993,17355,1246646.389,117405.8459,0.4296,0.6068,0.5747,0.5641,0.0207,0.3472
2020,"Ciudad de MExico",6742158,573999,177091,560021,162551,2086195.6639,332910.1792,0.3182,0.5635,0.5421,0.6213,0.0045,0.5994
2020,"Coahuila",2068601,333339,66391,317957,61709,1152895.6288,117772.793,0.5246,0.5327,0.3933,1.0216,0.0105,1.0328
2020,"Colima",517885,79303,14988,78378,13726,235697.8994,49323.0395,0.3217,0.6014,0.3974,0.5716,8e-04,0.7222
2020,"Durango",1181819,193861,16200,185103,14605,581627.8195,98034.0412,0.4336,0.6201,0.3295,0.3204,0.0331,1.6662
2020,"Guanajuato",3959716,949229,116421,899917,100082,2308675.1593,292007.6773,0.3927,0.5696,0.4144,0.5307,0.0201,0.5356
2020,"Guerrero",2252507,305509,57602,301377,56612,1139884.1023,242277.3972,0.2933,0.4101,0.55,0.8786,0.0025,0.3464
2020,"Hidalgo",1997692,629803,120966,610959,114392,1103747.6157,224137.562,0.2845,0.491,0.3353,0.4836,0.0101,1.4631
2020,"Jalisco",5467526,640637,151739,615396,137302,2537931.4388,483217.2461,0.387,0.6654,0.3816,0.4661,0.0106,0.5791
2020,"MExico",11675784,2764584,622725,2689629,583381,6485528.5844,930508.9454,0.3252,0.5759,0.3474,0.4705,0.0072,0.9015
2020,"Michoac·n",3042823,741330,104643,729634,101682,1540525.9192,417747.8983,0.299,0.5451,0.5356,0.485,0.0095,0.6322
2020,"Morelos",1365389,182945,41525,181254,40433,698165.0712,155807.4486,0.3816,0.5907,0.445,0.4182,3e-04,0.5785
